"108年12月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"4555","氣立","13,000","13","641,000","49.80","49.80","49.00","49.00","-","0.60","48.90","1","49.40","1","45.37",
"4557","永新-KY","23,000","18","1,610,500","69.80","70.20","69.80","70.00","+","0.10","69.90","10","70.10","3","12.82",
"4560","強信-KY","400,000","146","20,302,400","50.00","53.00","49.75","51.50","+","1.70","51.20","1","51.50","27","12.97",
"4562","穎漢","35,000","24","868,950","24.90","25.15","24.60","24.80","+","0.20","24.60","2","24.80","6","52.77",
"4564","元翎","386,000","228","17,411,300","45.30","45.55","44.80","45.10"," ","0.00","45.00","4","45.10","3","13.23",
"4566","時碩工業","253,000","166","13,117,200","52.10","52.10","51.60","51.90","-","0.20","51.90","6","52.00","8","15.40",
"4571","鈞興-KY","127,000","88","8,752,900","69.80","69.80","68.00","68.80","-","1.00","68.60","1","68.80","2","15.22",
"4572","駐龍","53,000","45","6,857,000","129.50","130.00","128.00","128.00","-","3.00","128.00","5","128.50","1","17.56",
"4576","大銀微系統","86,000","72","7,140,000","83.00","83.50","82.80","82.80","-","0.20","82.80","7","83.00","1","66.77",
"4720","德淵","17,000","5","230,450","13.60","13.60","13.55","13.55","-","0.05","13.50","13","13.55","8","23.36",
"4722","國精化","53,000","24","1,460,250","27.55","27.65","27.50","27.55"," ","0.00","27.50","20","27.55","11","11.29",
"4725","信昌化","449,000","202","5,809,900","13.00","13.10","12.80","12.90","-","0.05","12.90","11","12.95","8","0.00",
"4737","華廣","571,000","388","44,402,000","80.50","80.50","76.40","76.50","-","3.30","76.30","2","76.80","1","39.23",
"4739","康普","239,000","163","17,401,700","72.60","73.40","72.20","73.40","+","1.10","73.20","4","73.50","7","50.27",
"4746","台耀","834,000","635","36,238,750","43.00","43.95","42.50","43.40","+","0.30","43.40","42","43.50","1","22.84",
"4755","三福化","28,000","27","1,212,750","43.65","43.70","42.90","43.50","-","0.15","43.30","1","43.50","1","11.39",
"4763","材料-KY","192,000","169","22,608,000","118.50","119.00","116.50","117.00","-","1.50","117.00","4","118.00","1","20.17",
"4764","雙鍵","8,000","8","537,100","67.40","67.40","67.00","67.20","+","0.20","66.70","1","67.40","1","16.55",
"4766","南寶","112,000","103","17,360,500","156.00","156.00","153.50","156.00"," ","0.00","155.00","4","156.00","12","18.14",
"4807","日成-KY","61,000","53","1,802,800","30.25","30.25","29.10","29.30","+","1.20","29.30","2","29.50","8","0.00",
"4904","遠傳","1,327,000","776","95,954,400","72.30","72.50","72.10","72.20"," ","0.00","72.20","234","72.40","280","28.54",
"4906","正文","1,816,000","769","45,264,250","25.00","25.15","24.85","24.85","-","0.15","24.85","157","24.90","3","29.94",
"4912","聯德控股-KY","16,000","16","1,807,500","113.00","113.00","112.50","112.50","-","0.50","112.50","4","113.00","1","16.47",
"4915","致伸","5,496,000","3,387","350,579,200","64.00","64.50","63.00","63.30","-","0.20","63.20","6","63.30","27","14.10",
"4916","事欣科","253,000","155","8,605,350","34.10","34.25","33.85","34.00","-","0.10","33.95","8","34.00","1","8.15",
"4919","新唐","828,000","610","38,666,350","47.15","47.15","46.55","46.60","-","0.40","46.60","6","46.65","11","17.92",
"4927","泰鼎-KY","945,000","516","40,301,300","42.55","42.85","42.50","42.65","+","0.10","42.65","10","42.70","16","7.78",
"4930","燦星網","325,000","82","3,572,150","10.90","11.10","10.90","11.05","+","0.05","11.05","2","11.10","4","42.50",
"4934","太極","755,000","197","4,099,540","5.45","5.46","5.40","5.43","-","0.03","5.43","16","5.46","3","0.00",
"4935","茂林-KY","3,870,000","2,533","436,119,500","113.50","115.50","110.00","115.50","+","2.50","115.00","8","115.50","34","59.23",
"4938","和碩","8,176,000","3,763","558,721,200","68.50","68.70","67.50","68.70","-","0.20","68.60","51","68.70","71","12.49",
"4942","嘉彰","408,000","289","17,587,400","43.25","43.30","42.90","43.05","+","0.35","43.05","4","43.10","7","9.70",
"4943","康控-KY","2,218,000","1,759","378,607,500","173.00","173.50","169.00","169.50","-","3.00","169.50","106","170.00","8","47.48",
"4952","凌通","95,000","67","3,145,950","33.20","33.20","33.05","33.05","-","0.35","33.05","8","33.10","1","14.43",
"4956","光鋐","174,000","83","2,465,900","14.35","14.35","14.10","14.10","-","0.10","14.10","2","14.15","21","0.00",
"4958","臻鼎-KY","4,532,000","2,837","628,063,500","138.00","141.00","136.00","136.50","-","2.00","136.50","10","137.00","83","14.37",
"4960","誠美材","279,000","137","1,738,140","6.16","6.39","6.16","6.18","+","0.02","6.18","54","6.25","20","0.00",
"4961","天鈺","374,000","260","14,427,800","38.50","38.80","38.35","38.65","+","0.15","38.65","2","38.75","33","19.32",
"4967","十銓","11,802,000","5,409","374,084,450","30.65","32.10","30.50","32.10","+","2.90","32.10","878","--","0","40.63",
"4968","立積","5,202,000","3,583","877,273,000","167.50","170.00","167.00","168.00","+","1.50","168.00","79","168.50","11","56.00",
"4976","佳凌","482,000","372","12,185,900","25.45","25.80","25.10","25.15","-","0.55","25.15","7","25.20","22","0.00",
"4977","眾達-KY","4,353,000","2,937","461,297,500","107.00","109.00","103.00","103.50","-","1.00","103.50","8","104.00","12","28.12",
"4989","榮科","454,000","261","11,225,300","24.90","25.00","24.60","24.70","-","0.20","24.65","15","24.70","3","33.38",
"4994","傳奇","235,000","150","20,364,800","85.20","87.40","85.20","86.90","+","0.80","86.60","1","86.90","14","35.47",
"4999","鑫禾","78,000","50","3,325,650","42.55","43.10","42.50","42.50"," ","0.00","42.50","3","42.80","5","11.68",
"5007","三星","58,000","29","2,941,800","50.70","50.80","50.70","50.80","-","0.20","50.80","1","50.90","308","16.71",
"5203","訊連","723,000","569","82,296,000","110.50","116.00","110.50","113.50","+","2.50","113.00","34","113.50","2","25.97",
"5215","科嘉-KY","416,000","346","28,483,300","69.20","69.20","68.10","68.10","-","0.60","68.10","16","68.30","6","16.14",
"5225","東科-KY","208,000","169","11,567,300","55.30","56.00","55.30","55.60"," ","0.00","55.60","26","55.70","1","7.46",
"5234","達興材料","943,000","653","82,371,100","86.90","88.30","86.00","88.30","+","2.00","88.00","2","88.30","4","13.50",
"5243","乙盛-KY","163,000","116","5,784,750","35.30","35.75","35.30","35.45","+","0.15","35.45","7","35.55","14","11.33",
"5258","虹堡","4,163,000","1,973","127,974,000","29.60","31.35","29.30","31.35","+","2.85","31.35","4,255","--","0","0.00",
"5264","鎧勝-KY","1,004,000","697","49,038,450","48.50","49.20","48.50","48.65","-","0.60","48.60","70","48.65","48","0.00",
"5269","祥碩","648,000","598","405,161,000","607.00","634.00","602.00","630.00","+","28.00","630.00","7","632.00","2","36.29",
"5283","禾聯碩","234,000","214","22,735,100","97.50","97.80","96.80","96.80","-","1.50","96.70","12","96.80","1","9.44",
"5284","jpp-KY","45,000","34","2,266,200","50.50","50.50","50.20","50.40","-","0.10","50.40","1","50.50","11","17.94",
"5285","界霖","344,000","207","21,741,200","63.70","64.10","62.50","62.60","-","0.70","62.60","6","62.80","3","20.26",
"5288","豐祥-KY","25,000","20","3,046,500","122.00","122.00","121.50","121.50","-","0.50","121.50","7","122.00","4","12.72",
"5305","敦南","368,000","189","14,481,800","39.05","39.65","39.05","39.60","+","0.55","39.50","14","39.60","16","19.80",
"5388","中磊","718,000","533","54,232,400","75.60","75.90","75.20","75.40","+","0.50","75.40","3","75.50","22","19.14",
"5434","崇越","2,937,000","1,949","320,567,000","108.00","111.00","106.50","111.00","+","5.50","110.50","13","111.00","153","11.75",
"5469","瀚宇博","3,446,000","1,859","145,910,400","42.05","42.65","41.95","42.45","+","0.55","42.45","16","42.50","37","7.65",
"5471","松翰","326,000","142","10,469,750","32.10","32.20","32.05","32.20","+","0.10","32.15","3","32.20","4","17.04",
"5484","慧友","95,000","36","869,790","9.30","9.30","9.11","9.20","-","0.10","9.13","1","9.20","3","0.00",
"5515","建國","451,000","99","4,774,050","10.55","10.65","10.55","10.60"," ","0.00","10.55","20","10.60","109","14.52",
"5519","隆大","1,693,000","521","27,274,700","16.15","16.20","16.05","16.05"," ","0.00","16.05","11","16.10","100","4.88",
"5521","工信","17,477,000","4,273","172,444,520","10.00","10.20","9.64","9.66","-","0.34","9.65","49","9.66","5","0.00",
"5522","遠雄","438,000","227","17,020,850","38.95","38.95","38.75","38.80","-","0.05","38.75","91","38.80","15","13.15",
"5525","順天","69,000","35","1,560,800","22.60","22.70","22.50","22.50","+","0.05","22.45","4","22.65","11","8.43",
"5531","鄉林","3,543,000","1,170","39,899,300","11.25","11.50","11.05","11.05","+","0.25","11.05","53","11.15","18","0.00",
"5533","皇鼎","86,000","31","1,359,100","15.80","15.95","15.70","15.85","+","0.15","15.75","13","15.85","1","36.02",
"5534","長虹","492,000","337","39,953,500","81.40","81.40","81.10","81.10","-","0.30","81.10","22","81.20","2","8.59",
"5538","東明-KY","1,000","1","31,550","31.55","31.55","31.55","31.55","-","1.35","31.65","3","32.00","1","14.21",
"5607","遠雄港","7,683,000","3,549","221,307,650","28.10","29.35","28.10","28.80","+","0.90","28.80","98","28.90","2","9.83",
"5608","四維航","64,000","37","531,570","8.32","8.33","8.27","8.31","-","0.02","8.27","5","8.31","4","0.00",
"5706","鳳凰","23,000","17","892,000","38.70","38.90","38.65","38.75"," ","0.00","38.75","2","38.85","2","11.57",
"5871","中租-KY","4,766,000","2,204","647,474,000","135.50","137.00","135.00","136.00","+","2.00","135.50","117","136.00","1,402","12.20",
"5876","上海商銀","3,460,000","1,039","173,019,400","49.95","50.20","49.80","50.00","-","0.20","50.00","196","50.10","76","14.37",
"5880","合庫金","7,666,000","2,389","158,622,400","20.65","20.80","20.65","20.70"," ","0.00","20.70","434","20.75","221","16.43",
"5906","台南-KY","68,000","14","908,300","13.10","13.40","13.10","13.30","+","0.45","13.15","1","13.30","1","11.57",
"5907","大洋-KY","1,954,000","854","57,160,300","29.15","29.45","29.00","29.00","+","0.25","29.00","52","29.05","1","12.03",
"6005","群益證","5,070,000","672","53,387,300","10.45","10.60","10.45","10.60","+","0.10","10.55","171","10.60","1,596","15.82",
"6024","群益期","84,000","55","3,596,000","42.75","42.90","42.75","42.90","+","0.15","42.80","7","42.85","1","14.11",
"6108","競國","180,000","103","4,672,450","25.85","26.05","25.85","26.00"," ","0.00","25.95","11","26.05","3","9.56",
"6112","聚碩","201,000","118","6,902,150","34.40","34.50","34.15","34.35","+","0.05","34.30","14","34.35","1","17.18",
"6115","鎰勝","106,000","48","4,635,350","43.80","43.85","43.60","43.60"," ","0.00","43.60","36","43.75","16","13.50",
"6116","彩晶","96,699,000","15,417","743,299,650","7.68","7.85","7.60","7.67","+","0.06","7.66","10","7.67","365","0.00",
"6117","迎廣","9,000","6","122,700","13.60","13.70","13.60","13.60","+","0.05","13.55","3","13.70","1","0.00",
"6120","達運","804,000","281","12,143,650","15.15","15.25","15.00","15.10"," ","0.00","15.05","32","15.10","21","0.00",
"6128","上福","68,000","37","2,052,950","30.20","30.25","30.15","30.20"," ","0.00","30.20","12","30.25","5","10.49",
"6131","悠克","244,000","39","882,420","3.30","3.63","3.30","3.63","+","0.33","3.52","2","3.63","84","0.00",
"6133","金橋","24,000","6","196,160","8.17","8.21","8.17","8.21","+","0.01","8.16","8","8.21","16","27.37",
"6136","富爾特","197,000","122","3,918,050","19.90","20.10","19.75","19.95","-","0.25","19.90","2","19.95","1","28.91",
"6139","亞翔","2,780,000","1,333","75,623,050","26.90","28.00","26.55","28.00","+","1.55","27.95","4","28.00","86","10.57",
"6141","柏承","4,671,000","1,984","107,542,850","22.90","23.30","22.75","23.00","+","0.35","22.85","12","23.00","20","135.29",
"6142","友勁","140,000","51","1,091,430","7.80","7.82","7.78","7.82","-","0.05","7.79","19","7.85","10","0.00",
"6152","百一","253,000","83","1,824,500","7.25","7.28","7.15","7.17","-","0.05","7.17","45","7.25","13","0.00",
"6153","嘉聯益","3,718,000","1,899","129,380,700","34.90","35.15","34.65","34.65","-","0.30","34.65","202","34.70","18","21.13",
"6155","鈞寶","290,000","193","7,842,750","27.10","27.25","26.85","26.85","-","0.25","26.85","27","27.00","5","23.55",
"6164","華興","336,000","70","2,319,240","6.89","6.94","6.87","6.92","+","0.08","6.89","3","6.92","2","0.00",
"6165","捷泰","904,000","489","18,337,700","19.50","20.90","19.50","20.20","+","0.70","20.20","2","20.25","2","0.00",
"6166","凌華","207,000","146","9,659,100","47.00","47.00","46.50","46.60","-","0.25","46.50","6","46.60","2","23.18",
"6168","宏齊","351,000","156","4,593,000","13.30","13.30","13.00","13.00","-","0.10","13.00","26","13.10","11","21.67",
"6172","互億","789,000","340","15,086,100","19.40","19.50","18.80","19.50","+","0.10","19.50","25","19.55","6","47.56",
"6176","瑞儀","5,179,000","3,284","603,234,500","117.00","118.00","116.00","116.00","-","1.50","116.00","466","116.50","62","7.83",
"6177","達麗","636,000","297","17,752,500","28.00","28.00","27.85","27.90","-","0.15","27.90","7","27.95","14","7.34",
"6183","關貿","29,000","22","1,063,000","36.75","36.75","36.60","36.65"," ","0.00","36.65","27","36.70","4","20.36",
"6184","大豐電","29,000","24","1,164,700","40.15","40.20","40.10","40.15","+","0.10","40.05","4","40.20","19","12.32",
"6189","豐藝","129,000","90","4,490,900","34.80","34.85","34.75","34.85","+","0.05","34.80","8","34.85","46","11.73",
"6191","精成科","1,469,000","488","24,476,650","16.50","16.80","16.50","16.65","+","0.10","16.60","84","16.65","8","9.51",
"6192","巨路","114,000","105","8,633,800","76.30","76.30","75.50","75.50","-","0.50","75.50","5","75.80","2","9.69",
"6196","帆宣","19,187,000","12,497","1,501,904,300","75.50","80.70","75.30","80.70","+","7.30","80.70","6,862","--","0","24.75",
"6197","佳必琪","1,204,000","689","41,725,500","34.95","35.10","34.40","34.40","-","0.30","34.40","19","34.50","1","12.98",
"6201","亞弘電","40,000","25","1,404,600","35.15","35.40","35.00","35.40","+","0.25","35.10","5","35.45","1","9.49",
"6202","盛群","258,000","190","17,890,100","69.40","69.60","69.20","69.20","-","0.20","69.20","20","69.40","42","16.59",
"6205","詮欣","99,000","52","2,504,650","25.00","25.50","25.00","25.50","+","0.55","25.50","4","25.65","1","14.66",
"6206","飛捷","114,000","92","8,057,100","70.50","71.10","70.50","70.50"," ","0.00","70.50","34","70.70","3","14.10",
"6209","今國光","310,000","157","8,725,900","28.10","28.40","28.00","28.00","-","0.10","28.00","9","28.10","1","0.00",
"6213","聯茂","1,798,000","1,326","250,465,000","140.50","141.50","138.00","138.00","-","2.50","138.00","103","138.50","37","17.99",
"6214","精誠","161,000","118","12,020,800","74.60","74.90","74.50","74.60","+","0.10","74.60","2","74.70","1","16.88",
"6215","和椿","747,000","466","11,651,800","15.15","15.85","15.15","15.70","+","0.75","15.70","7","15.75","19","26.17",
"6216","居易","65,000","34","1,814,500","27.85","27.95","27.80","27.90","+","0.05","27.85","28","27.90","7","14.38",
"6224","聚鼎","206,000","172","13,902,700","67.40","67.70","67.30","67.40","+","0.10","67.40","5","67.50","1","17.11",
"6225","天瀚","0","0","0","--","--","--","--"," ","0.00","1.78","1","1.82","3","0.00",
"6226","光鼎","740,000","292","5,864,100","7.82","8.01","7.82","8.01","+","0.16","7.99","4","8.01","27","400.50",
"6230","超眾","583,000","420","123,923,000","213.00","214.00","211.50","213.00","+","1.00","212.50","32","213.00","1","23.38",
"6235","華孚","45,000","34","577,900","12.90","12.90","12.80","12.85","+","0.05","12.80","9","12.85","4","0.00",
"6239","力成","4,723,000","2,911","461,945,200","96.90","98.50","96.50","98.10","+","1.60","98.00","5","98.10","8","14.89",
"6243","迅杰","801,000","361","8,553,000","10.30","11.00","10.20","11.00","+","0.90","10.95","10","11.00","8","0.00",
"6251","定穎","7,111,000","2,439","129,560,000","17.85","18.45","17.80","18.15","+","0.10","18.15","34","18.20","11","39.46",
"6257","矽格","1,977,000","1,178","72,302,300","36.60","36.90","36.35","36.35","-","0.25","36.35","97","36.40","2","13.51",
"6269","台郡","4,017,000","2,193","443,190,500","110.50","111.50","109.50","110.50","-","0.50","110.00","25","110.50","178","12.79",
"6271","同欣電","2,869,000","2,036","403,394,000","139.00","142.00","139.00","141.00","+","3.50","140.50","23","141.00","40","29.50",
"6277","宏正","35,000","29","3,038,700","86.80","86.90","86.70","86.80"," ","0.00","86.80","1","86.90","16","8.42",
"6278","台表科","7,762,000","4,562","858,203,000","111.00","111.50","109.00","111.00","-","1.50","111.00","13","111.50","123","17.68",
"6281","全國電","31,000","18","2,075,100","66.90","67.00","66.90","66.90","-","0.10","66.90","6","67.10","5","16.98",
"6282","康舒","3,731,000","1,667","90,069,050","24.05","24.20","24.00","24.20","+","0.15","24.15","97","24.20","9","8.18",
"6283","淳安","619,000","327","18,393,750","30.00","30.25","29.45","29.45","-","1.00","29.45","13","29.50","5","133.86",
"6285","啟碁","1,187,000","812","89,045,500","75.30","75.50","74.70","74.80","-","0.30","74.80","25","75.00","6","16.77",
"6288","聯嘉","3,872,000","1,551","97,636,550","25.55","25.65","25.05","25.10","-","0.45","25.10","54","25.15","4","22.61",
"6289","華上","653,000","104","769,840","1.21","1.21","1.05","1.05","-","0.05","1.05","21","1.07","100","0.00",
"6405","悅城","13,000","12","193,800","14.90","15.00","14.85","15.00","+","0.05","14.90","2","15.00","1","750.00",
"6409","旭隼","52,000","44","36,956,000","705.00","716.00","705.00","708.00","+","3.00","708.00","2","712.00","1","28.43",
"6412","群電","525,000","417","33,443,900","64.00","64.20","63.50","63.60","-","0.60","63.60","5","63.70","2","15.14",
"6414","樺漢","1,987,000","1,666","514,946,000","255.00","262.00","253.00","261.50","+","7.50","261.00","9","261.50","17","21.21",
"6415","矽力-KY","1,094,000","1,056","1,031,360,000","930.00","953.00","926.00","951.00","+","47.00","950.00","21","951.00","3","42.66",
"6416","瑞祺電通","656,000","567","62,728,900","95.20","96.80","94.60","95.40","+","0.60","95.40","2","95.70","3","20.56",
"6431","光麗-KY","275,000","132","7,755,000","28.20","28.20","28.20","28.20","+","2.55","28.20","430","--","0","0.00",
"6442","光聖","63,000","34","2,313,450","36.80","37.00","36.55","37.00","+","0.15","36.85","3","37.00","1","28.03",
"6443","元晶","1,401,000","312","10,320,440","7.36","7.40","7.33","7.34","-","0.09","7.34","2","7.35","6","0.00",
"6449","鈺邦","2,774,000","1,907","114,509,650","40.65","41.75","40.60","41.05","+","0.15","41.05","19","41.10","3","40.25",
"6451","訊芯-KY","3,648,000","2,786","501,584,500","134.00","139.00","133.00","139.00","+","5.50","138.50","44","139.00","47","22.17",
"6452","康友-KY","1,327,000","954","289,761,000","220.00","221.00","215.50","215.50","-","3.50","215.50","39","216.00","4","15.21",
"6456","GIS-KY","1,627,000","1,162","176,046,000","108.50","109.00","107.50","108.50","+","0.50","108.00","78","108.50","205","9.56",
"6464","台數科","2,000","1","227,000","113.50","113.50","113.50","113.50","-","0.50","113.50","2","114.00","9","21.29",
"6477","安集","853,000","295","18,976,100","22.50","22.55","21.95","22.05","-","0.50","22.05","3","22.10","8","9.30",
"6491","晶碩","348,000","283","60,800,000","174.50","176.50","172.00","174.00","+","3.00","174.00","5","174.50","1","20.52",
"6504","南六","26,000","25","3,493,000","136.50","136.50","133.00","134.00","-","1.00","133.50","3","134.50","1","19.03",
"6505","台塑化","2,939,000","1,475","279,799,300","95.30","95.50","94.90","95.50","+","0.10","95.40","19","95.50","33","35.63",
"6525","捷敏-KY","216,000","175","13,962,300","64.80","65.00","64.40","64.60","-","0.50","64.60","6","64.70","1","12.40",
"6531","愛普","1,955,000","1,262","160,558,100","80.80","84.40","79.40","84.40","+","5.00","84.30","3","84.40","41","0.00",
"6533","晶心科","557,000","466","70,646,500","127.00","128.00","126.00","127.00"," ","0.00","126.50","4","127.00","3","118.69",
"6541","泰福-KY","795,000","567","31,780,400","40.50","40.85","39.75","39.80","-","1.05","39.75","16","39.80","2","0.00",
"6552","易華電","664,000","503","55,961,100","84.30","85.00","84.00","84.00","-","0.30","84.00","70","84.10","3","14.69",
"6558","興能高","572,000","475","39,527,600","68.50","69.70","68.40","69.10","+","0.50","69.00","39","69.20","6","30.17",
"6573","虹揚-KY","90,000","57","2,232,850","24.80","25.35","24.50","24.55","-","0.05","24.55","1","24.70","5","0.00",
"6579","研揚","18,000","14","1,297,800","72.20","72.20","72.00","72.20"," ","0.00","72.20","1","72.30","1","24.31",
"6581","鋼聯","41,000","27","3,428,200","83.50","84.00","83.50","83.50","-","0.50","83.50","4","84.40","1","14.65",
"6582","申豐","45,000","40","2,544,400","56.10","57.00","56.10","56.40","+","0.10","56.50","1","56.90","1","11.75",
"6591","動力-KY","1,537,000","1,056","79,688,500","52.20","53.10","50.80","51.90","-","0.60","51.80","1","52.00","7","18.34",
"6592","和潤企業","15,658,000","11,965","1,421,708,500","91.70","92.80","89.50","90.50","-","3.00","90.50","136","90.60","56","16.58",
"6605","帝寶","234,000","172","13,728,200","58.70","59.30","57.70","58.20","-","0.50","58.20","2","58.40","1","11.78",
"6625","必應","17,000","14","828,100","49.10","49.10","47.75","47.90","+","0.15","47.80","1","48.30","1","0.00",
"6641","基士德-KY","139,000","113","9,473,800","68.60","69.10","67.60","68.10","-","0.40","68.00","21","68.20","1","10.74",
"6655","科定","9,000","7","362,500","40.20","40.30","40.20","40.30","+","0.10","40.20","3","40.30","5","18.40",
"6666","羅麗芬-KY","151,000","114","26,538,500","177.00","178.00","174.00","175.00","-","2.00","174.50","1","175.00","1","16.75",
"6668","中揚光","5,999,000","4,080","463,755,600","72.60","79.20","72.60","79.20","+","7.20","79.20","205","--","0","61.88",
"6669","緯穎","1,283,000","1,079","768,018,000","592.00","603.00","592.00","600.00","+","5.00","599.00","3","600.00","47","19.04",
"6670","復盛應用","178,000","164","31,630,500","177.50","178.50","177.00","177.00","-","1.00","177.00","7","178.00","5","11.51",
"6671","三能-KY","107,000","77","3,959,250","36.50","37.95","36.40","37.00","+","0.60","36.95","5","37.00","2","13.96",
"6672","騰輝電子-KY","431,000","338","39,738,300","92.80","93.00","91.70","91.70","-","0.80","91.70","5","91.80","1","15.18",
"6674","鋐寶科技","8,000","5","236,200","29.65","29.65","29.45","29.45","+","0.30","29.20","1","29.45","2","43.31",
"6698","旭暉應材","1,865,000","1,417","165,554,000","84.50","90.40","84.50","89.70","+","5.80","89.70","4","89.90","4","29.60",
"8011","台通","229,000","112","3,676,350","15.95","16.20","15.95","16.00"," ","0.00","15.95","46","16.00","3","0.00",
"8016","矽創","1,121,000","848","189,873,000","170.00","172.00","168.00","168.50","-","2.50","168.50","78","169.00","3","17.87",
"8021","尖點","637,000","350","14,535,100","22.75","22.95","22.60","22.80","+","0.05","22.80","31","22.90","33","14.25",
"8028","昇陽半導體","1,207,000","798","86,605,000","71.60","72.20","71.30","71.80","+","0.20","71.70","11","71.80","4","27.20",
"8033","雷虎","191,000","90","1,947,050","10.20","10.30","10.15","10.25","+","0.05","10.15","21","10.25","12","0.00",
"8039","台虹","4,985,000","3,103","232,743,650","45.55","47.30","45.55","46.95","+","1.45","46.90","32","46.95","14","15.10",
"8046","南電","6,087,000","3,786","297,312,350","48.60","49.20","48.35","48.95","+","0.45","48.90","8","48.95","7","108.78",
"8070","長華","137,000","110","24,257,500","177.00","178.00","176.00","177.50","+","0.50","177.00","34","177.50","20","9.84",
"8072","陞泰","21,000","17","431,000","20.70","20.70","20.40","20.45","-","0.05","20.45","1","20.50","4","0.00",
"8081","致新","3,938,000","2,989","501,259,500","126.00","129.50","124.00","127.50","+","1.50","127.50","24","128.00","55","16.02",
"8101","華冠","2,471,000","692","11,062,460","4.14","4.56","4.14","4.56","+","0.41","4.56","281","--","0","0.00",
"8103","瀚荃","210,000","128","5,670,300","27.05","27.15","26.90","27.05","+","0.45","27.05","3","27.10","8","11.09",
"8104","錸寶","701,000","467","40,231,600","57.60","58.30","56.70","57.70","+","0.40","57.70","2","57.80","7","29.29",
"8105","凌巨","1,631,000","661","23,062,400","14.20","14.25","14.10","14.15","-","0.15","14.15","3","14.20","111","14.89",
"8110","華東","3,233,000","1,004","37,547,750","11.45","11.75","11.35","11.65","+","0.20","11.60","51","11.65","43","48.54",
"8112","至上","684,000","393","20,083,850","29.40","29.45","29.30","29.35","+","0.05","29.35","2","29.40","67","8.89",
"8114","振樺電","41,000","34","4,195,500","102.50","103.00","102.00","102.00","-","0.50","102.50","3","103.00","7","17.00",
"8131","福懋科","654,000","314","22,759,000","34.60","35.00","34.60","34.70","+","0.25","34.70","17","34.80","6","12.90",
"8150","南茂","6,133,000","3,040","218,275,150","35.30","35.95","35.20","35.45","+","0.30","35.45","173","35.50","40","10.04",
"8163","達方","2,564,000","1,601","108,463,200","42.10","42.50","41.95","42.30","+","0.20","42.30","3","42.35","84","11.72",
"8201","無敵","47,000","23","532,250","11.30","11.40","11.25","11.25"," ","0.00","11.25","11","11.30","13","0.00",
"8210","勤誠","504,000","417","42,753,800","83.70","85.20","83.70","84.90","+","1.10","84.90","3","85.00","20","11.43",
"8213","志超","1,633,000","891","59,430,500","36.60","36.60","36.30","36.35","-","0.35","36.35","38","36.40","2","7.75",
"8215","明基材","1,070,000","572","19,587,700","18.30","18.50","18.20","18.20","+","0.05","18.20","34","18.25","12","18.57",
"8222","寶一","63,000","35","1,138,600","18.15","18.15","18.00","18.15"," ","0.00","18.10","4","18.15","6","21.10",
"8249","菱光","107,000","63","2,308,250","21.55","21.80","21.45","21.55","-","0.05","21.55","10","21.60","17","10.94",
"8261","富鼎","768,000","514","22,799,500","29.65","30.00","29.40","29.85","+","0.15","29.80","8","29.85","12","28.98",
"8271","宇瞻","1,117,000","666","42,324,850","37.45","38.25","37.45","38.05","+","0.50","38.05","3","38.10","15","11.22",
"8341","日友","98,000","95","23,331,500","236.50","241.00","236.00","238.50","+","4.50","238.00","15","238.50","1","26.71",
"8367","建新國際","668,000","413","19,285,350","28.70","29.15","28.60","28.80","+","0.30","28.75","15","28.80","1","14.85",
"8374","羅昇","56,000","28","1,240,800","22.20","22.20","22.05","22.20","-","0.05","22.15","3","22.20","4","0.00",
"8404","百和興業-KY","61,000","42","2,473,750","40.45","40.70","40.40","40.40","-","0.05","40.45","2","40.55","2","28.65",
"8411","福貞-KY","57,000","28","861,300","15.15","15.30","15.00","15.00","-","0.05","14.95","5","15.00","4","0.00",
"8422","可寧衛","89,000","55","13,891,000","156.00","157.00","155.50","156.00","-","0.50","156.00","5","156.50","1","15.03",
"8427","基勝-KY","3,000","3","112,650","37.15","38.25","37.15","37.25","X","0.00","--","0","38.10","1","23.43",
"8429","金麗-KY","254,000","133","2,902,950","11.40","11.55","11.30","11.35","-","0.05","11.35","22","11.45","10","10.32",
"8442","威宏-KY","56,000","35","3,101,700","55.50","55.60","55.20","55.60","+","0.10","55.30","4","55.60","7","12.19",
"8443","阿瘦","11,000","9","121,650","11.00","11.10","11.00","11.05","+","0.15","11.05","3","11.10","5","0.00",
"8454","富邦媒","86,000","79","24,996,500","288.50","293.00","288.50","291.50","+","4.50","291.00","10","291.50","8","29.50",
"8462","柏文","105,000","97","19,622,000","187.00","189.00","186.00","187.50","+","1.00","187.00","7","188.00","3","25.07",
"8463","潤泰材","426,000","266","18,099,850","43.10","43.10","42.10","42.15","-","0.95","42.10","41","42.15","2","60.21",
"8464","億豐","2,938,000","2,111","754,424,000","269.00","270.00","253.00","255.50","-","22.50","255.50","4","256.00","8","17.35",
"8466","美吉吉-KY","10,000","9","708,600","71.10","71.10","70.10","70.90","-","0.10","70.50","1","70.90","2","10.28",
"8467","波力-KY","65,000","52","4,354,600","68.00","68.00","66.50","66.80","-","1.20","66.80","2","66.90","1","22.72",
"8473","山林水","42,000","33","2,074,400","49.70","49.70","49.25","49.40","+","0.20","49.40","5","49.50","7","22.15",
